Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
hang-up,psychology [n]: complexe [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang up,general [v]: accrocher; pendre,telephone [v]: accrocher; pendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hank,thread [n]: écheveau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanker after,desire [v]: brûler de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanker for,desire [v]: brûler de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hankering,desire [n]: vif désir [m]; grande envie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanky-panky,trickery [n]: entourloupettes [fp (informal)]; micmacs [mp (informal)]; manigances [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanuka,religion [n]: Hanoukka [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanukka,religion [n]: Hanoukka [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanukkah,religion [n]: Hanoukka [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haphazard,general [a]: fortuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happen,event [v]: survenir; se produire; avoir lieu; arriver,come about [v]: arriver; se passer; se produire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happen before,time [v]: arriver antérieurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happening,general [n]: événement [m]; événement [m] fortuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happen to,event [v]: advenir; arriver à; survenir,person [v]: devenir; arriver à,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happen to be,reality [v]: se révéler; se trouver que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happen together,coincide [v]: coïncider; concorder; concourir; tomber ensemble; arriver simultanément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happily,general [o]: heureusement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happiness,emotional condition [n]: bonheur [m],cheerfulness [n]: gaieté [f]; joie [f]; vivacité [f]; bonne humeur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy,emotional condition [a]: heureux; joyeux; folâtre; gai; de bonne humeur; allègre; riant; réjoui; ravi; content; enthousiaste; enchanté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy birthday,wish [o]: bon anniversaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy-go-lucky,carefree [a]: libre de tout souci; insouciant; sans souci; nonchalant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
happy medium,compromise [n]: juste milieu [m]; moyen [m] terme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy New Year,wish [o]: bonne année,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harass,behavior [v]: tourmenter; provoquer; harceler; importuner,browbeat [v]: intimider; rudoyer; effrayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harassing,browbeating [n]: intimidation [f]; menace [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harbinger,future [n]: signe [m] avant-coureur; signe [m] précurseur; présage [m],future - man [n]: avant-coureur [m]; précurseur [m],future - woman [n]: avant-coureur [m]; précurseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
harbor,protection [n]: refuge [m],nautical [n]: port [m],accommodate [v]: héberger; loger; accueillir,,,,,,,,,,,,,,,,,,,,,,,,,,,
handle,spade [n]: manche [m],suitcase [n]: poignée [f],knife [n]: manche [m],door [n]: poignée [f]; poignée [f] de porte,displayed articles [v]: toucher,difficulty [v]: faire face à; venir à bout de; être à la hauteur de,situation [v]: conduire,problem [v]: aborder; s'attaquer à,tools [v]: manier,vehicles [v]: manœuvrer,people [v]: traiter,objects [v]: traiter,person [v]: savoir s'y prendre avec; manier,carry off [v]: réaliser; réussir,,,,,,,,,,,,,,,,
handlebar,bicycle [n]: guidon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handle carefully,person [v]: ménager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handler,animals - man [n]: dresseur [m],animals - woman [n]: dresseuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
handling,machine [n]: maniement [m],goods [n]: manutention [f],automobiles [n]: tenue [f] de route,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand luggage,travel [n]: bagage [m] à main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmade,material [a]: fait à la main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand net,sports - fishing [n]: filet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand on,objects [v]: transmettre; passer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handout,advertising [n]: prospectus [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand out,objects [v]: distribuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanging,general [a]: suspendu; pendant,general [n]: pendaison [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanging down,drooping [a]: tombant; penchant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanging loosely,baggy [a]: trop ample; flottant; bouffant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangings,interior decoration [n]: tenture [f]; draperie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangman,crime [n]: bourreau [m]; exécuteur [m] des hautes œuvres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangnail,medicine [n]: envie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang on,general [v]: se cramponner; s'accrocher,effort [v]: continuer; persévérer,telephone [v]: attendre; ne pas quitter; rester en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang oneself,suicide [v]: se pendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang on to,idea [v]: se cramponner à; s'accrocher à,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangout,alcoholic beverages [n]: endroit [m] favori; antre [m] favori; bar [m] habituel; bar [m] favori,place [n]: lieu [m] de prédilection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang out to dry,laundry [v]: étendre; mettre à sécher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangover,alcoholic beverages [n]: gueule [f] de bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang over,threat [v]: planer sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang together,remain united [v]: rester unis; s'accorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harshness,criticism [n]: aigreur [f]; amertume [f]; acrimonie [f]; hargne [f],character [n]: austérité [f]; sévérité [f]; dureté [f],behavior [n]: âpreté [f]; aspérité [f]; dureté [f]; austérité [f]; rigueur [f]; rudesse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hart,zoology - male [n]: cerf [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harum-scarum,general [a]: écervelé; étourdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hassock,furniture [n]: pouf [m],religion [n]: agenouilloir [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
handful,quantity [n]: poignée [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handhold,mountaineering [n]: prise [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handicap,disability [n]: handicap [m]; infirmité [f],disadvantage [n]: désavantage [m]; handicap [m]; inconvénient [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
handicapped,disabled [a]: infirme; invalide; mutilé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handicraft,skill [n]: habileté [f] manuelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand in,objects [v]: remettre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harborage,protection [n]: refuge [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,look [a]: sévère,effort [a]: ardu; pénible; lourd; épuisant; dur; laborieux,water [a]: dur; calcaire,material [a]: dur,difficult [a]: difficile; dur,general [o]: durement,energy [o]: fortement,,,,,,,,,,,,,,,,,,,,,,,
hard-and-fast rule,general [n]: règlement [m] absolu; loi [f] stricte; loi [f] inflexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,agriculture [n]: récolte [f]; moisson [f],agriculture [v]: récolter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvester,profession - man [n]: moissonneur [m],profession - woman [n]: moissonneuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvestman,arachnids [n]: faucheur [m]; faucheux [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
has-been,person [n]: personne [f] finie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hash,culinary [v]: hacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hashish,narcotics [n]: hachisch [m]; haschisch [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasp,door [n]: moraillon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hassle,general [n]: embêtement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard as nails,behavior [a]: inflexible; dur; intransigeant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardback,books [n]: livre [m] cartonné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-bitten,behavior [a]: tenace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardboard,construction [n]: carton [m] dur; isorel [m (trademark)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-boiled,egg [a]: dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard cash,money [n]: espèces [fp]; argent [m] liquide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headland,geology [n]: promontoire [m]; cap [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headless,body [a]: sans tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlight,automobiles [n]: phare [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headline,newspaper [n]: titre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlong,posture [o]: la tête la première,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
